text,badge_color,final_score,model_cred,heur_score,heur_tips,prob_toxic,prob_severe_toxic,prob_obscene,prob_threat,prob_insult,prob_identity_hate,pred_toxic,pred_severe_toxic,pred_obscene,pred_threat,pred_insult,pred_identity_hate
"People who become administrators or higher sometimes have a fixation with constantly working, and fear that not working will lead to ruin. It’s often a projection of their personal insecurities.",yellow,0.698185471445322,0.99740781635046,0.0,,0.0025921836495399475,9.105046046897769e-05,0.00018524605548009276,0.00011993696534773335,0.00027664253138937056,0.00018058106070384383,0,0,0,0,0,0
"Yeah, they are desperate to justify their paychecks. Ironically, the obsession with constant academic instruction in elementary a) kills kids' intrinsic enjoyment of learning, and b) pushes out the foundational skills--getting along with others, fine motor skills, following directions, solving problems, gross motor skills, frustration and failure tolerance--that allow kids to excel academically are best learned organically.",yellow,0.6971174279227852,0.9958820398896933,0.0,,0.00411796011030674,9.127535304287449e-05,0.0002877481165342033,0.00010941840446321294,0.0003419824060983956,0.00019318130216561258,0,0,0,0,0,0
THIS. A solid chunk of my kindergarten experience was the craft-type stuff from OP's PARTY!,yellow,0.6995610884681809,0.9993729835259728,0.0,,0.0006270164740271866,0.0001198772806674242,0.00018842877761926502,0.00011786534741986543,0.0001779309823177755,0.00013481819769367576,0,0,0,0,0,0
"I can't believe OP included crafts in the description of their illicit party. Crafts touch on *so many* important topics for kindergartens:

- promoting creativity and independence
- improving fine motor skills/ manipulation of small objects
- understanding responsible use/consumption of shared group resources/supplies (including turn taking and sharing)
- using office supplies including scissors, glue, and tape
- fostering interest in the arts 
- supporting and reinforcing ""academic"" topics, by presenting them in a different way
- providing another area where children can be and feel successful (especially for those students struggling in other academic areas, special needs students, English language learners, etc)
- being a fun and often more relaxing activity that breaks up long periods of instruction and allows kids to optimize learning 


I could go on all day.",yellow,0.6995510530483443,0.9993586472119205,0.0,,0.00064135278807953,0.0001191609917441383,0.0001732688251649961,0.00012123781198170036,0.00018243896192871034,0.0001451480493415147,0,0,0,0,0,0
"what’s crazy is because our curriculum doesn’t allow for crafts, I didn’t realize how weak my kinders fine motor skills are.
They could barely cut or didn’t want to even try cutting any of the stuff for the crafts. I pushed them so hard and they did it. I was super proud!",yellow,0.6979466517921536,0.9970666454173625,0.0,,0.0029333545826375484,0.0001065721589839086,0.00024615327129140496,0.00013003616186324507,0.0002927296736743301,0.00020884923287667334,0,0,0,0,0,0
"Hi, I’m just popping in from r/all and *what do you mean a kindergarten curriculum doesn’t allow for crafts???* If I’m remembering kindergarten at all, we did like 99% crafts that taught letters and numbers. What are your kindergarteners expected to do all day, read out of textbooks?",yellow,0.6986897992901504,0.9981282847002149,0.0,Repeated punctuation.,0.0018717152997851372,8.819124195724726e-05,0.0001953220198629424,9.916946874000132e-05,0.00022206777066458017,0.00014880158414598554,0,0,0,0,0,0
Yeah. Me too. It's depressing as hell,yellow,0.4971057325601577,0.7101510465145111,0.0,,0.2898489534854889,0.0006662646774202585,0.03598741069436073,0.000532103527802974,0.005125418305397034,0.0005834950716234744,0,0,0,0,0,0
"A lot of my Kindergarten experience was crafts and I hated it.  I wanted to be learning in school, not making hand-turkeys for Thanksgiving.  You don't speak for everyone.",yellow,0.6978963299654424,0.9969947570934892,0.0,,0.00300524290651083,9.210369898937643e-05,0.00024656669120304286,0.0001096604173653759,0.00024497046251781285,0.00017562363063916564,0,0,0,0,0,0
This is such a strange and frankly pretty rude response.,yellow,0.6657942876219749,0.9511346966028214,0.0,,0.04886530339717865,0.0002578783023636788,0.0033161037135869265,0.00017493756604380906,0.0018206293461844325,0.0003622619842644781,0,0,0,0,0,0
And makes passionate creative teachers leave the profession.,yellow,0.699200358078815,0.9988576543983072,0.0,,0.0011423456016927958,0.00010003890929510817,0.0001697289408184588,0.00010919669875875115,0.00020044666598550975,0.00014910312893334776,0,0,0,0,0,0
"They also have an unreasonably narrow view of learning — usually limited to just things that are tested in a standardized way or at least traditional academic subjects. 

I’ve said before my college students in a technical field could have used more time practicing arts and crafts as kids because it shows up as odd weaknesses in coordination when doing mechanical tasks as adults.  No youre never going to be able to measure whether that q tip skeleton was the reason a kid is able to solve a spatial problem in a lab 15 years down the road but that doesn’t mean it didn’t matter. 

Also, as other commenters mentioned, it’s fun stuff like parties that help kids form community and enjoy going to school. ",yellow,0.6992208082578144,0.998886868939735,0.0,,0.0011131310602650046,9.828433394432068e-05,0.00017350724374409765,0.00011364543024683371,0.00020049979502800852,0.00014510970504488796,0,0,0,0,0,0
"If they can't put it in a graph, they aren't interested.",yellow,0.6995268522587139,0.9993240746553056,0.0,,0.0006759253446944058,0.0001198299796669744,0.0001758622529450804,0.0001245515450136736,0.0001777546276571229,0.00014221484889276326,0,0,0,0,0,0
The bureaucratic model of education is dehumanizing and disconnected from reality.,yellow,0.6990648467442951,0.9986640667775646,0.0,,0.0013359332224354148,0.00010067750554298982,0.00016144155233632773,0.00010732264490798116,0.0002126879116985947,0.00017127746832557023,0,0,0,0,0,0
"High school. One of the things I do in my ""assessment cycle"" and ""data collection"" is pay close attention to the kids' vibes. Sometimes less is more. Sometimes, some unstructured time is just what's needed. Sometimes, you have to push harder. That they want us to always just do it one way is actually unprofessional.",yellow,0.6994979785464238,0.9992828264948912,0.0,,0.0007171735051088035,0.00011423332762205973,0.00017628715431783348,0.00011398470087442547,0.0001831951376516372,0.000141584052471444,0,0,0,0,0,0
"But if a kid is a disciple issue, administrators will ask if you spent time trying to connect with the students.

One day we have a speaker come in who was paid who knows how much money to tell us that we should be sharing personal experiences and learning from the students to connect with them. This approach is meant to improve mental health as well as increase effort in academics. The next week, I get a letter in my file for not being on topic and discussing topics that aren’t a part of the curriculum. 

Teachers in my district are so afraid these days of getting in trouble because of how parents and administrators feel that day.",yellow,0.6993950313946697,0.9991357591352426,0.0,,0.0008642408647574484,0.00011039800301659852,0.00016517991025466472,0.00012201589561300352,0.00019567209528759122,0.00015036652621347457,0,0,0,0,0,0
"haha the exact thing happened to me, so don't feel bad. For each student that 'you're not teaching enough', there's a student who says 'you talked to me about something important when nobody else did'. (Also, numerous research studies support the idea of better student-teacher relationships leading to higher academic success and general well-being. It is the entire first section of the literature review of my dissertation. Sharing personal stories and teaching content are both ways to support those relationships; they're not mutually exclusive, so our districts were wrong.)",yellow,0.6994266977126244,0.9991809967323206,0.0,,0.0008190032676793635,0.00010814677079906687,0.0001803800550987944,0.00011215396079933271,0.00017348589608445764,0.00013625041174236685,0,0,0,0,0,0
"Thank you!

I am lucky that my side hustle is bartending on the weekends. The kids don’t know but they get a funny surprise when they see me. It feels pretty good to hear them talk about how much they enjoyed my class and always tell stories that had nothing to do with the curriculum but always appreciated what a good role model I was and how I made their day a little enjoyable.",yellow,0.6995975827449001,0.9994251182070002,0.0,,0.000574881792999804,0.00013046999811194837,0.0001811727852327749,0.00014253606786951423,0.0001768120564520359,0.00014419920626096427,0,0,0,0,0,0
"Shit like that is why I teach toddlers. I would hate not having any autonomy.  I have a basic curriculum outline, but I do that is about 15 minutes a day. 

I focus more on things like walking, sitting at the table to eat, saying new words, following basic directions, and learning how to cope with being upset. 

Funny thing is. I have teacher friends to tell me their 5th graders need to come re-learn some of that.",red,0.30656046271324155,0.4379435181617737,0.0,,0.5620564818382263,0.0038901581428945065,0.523064136505127,0.0009007336921058595,0.04073623567819595,0.0017274611163884401,1,0,1,0,0,0
I teach high school biology and some never learned to not pick their nose in class.,yellow,0.6687816958874464,0.955402422696352,0.0,,0.044597577303647995,0.00011893157352460548,0.0009974464774131775,0.00018487479246687144,0.002103117760270834,0.00045156109263189137,0,0,0,0,0,0
More schooling has never equalled more education,yellow,0.6988287320127711,0.9983267600182444,0.0,,0.0016732399817556143,9.320270328316838e-05,0.0001732268719933927,0.00010747380292741582,0.00019893904391210526,0.00017336006567347795,0,0,0,0,0,0
"I wish I worked with administrators like that. Most of the admin I have worked with considered their jobs to be sitting back and delegating their work to the people below them, then taking credit for that work.",yellow,0.6995305897900834,0.9993294139858335,0.0,,0.0006705860141664743,0.00011748249380616471,0.00017487617151346058,0.00012959969171788543,0.00018767855362966657,0.00013822311302646995,0,0,0,0,0,0
Ya don’t change your style this sounds like a nice event !,yellow,0.6991137181175873,0.9987338830251247,0.0,,0.001266116974875331,9.740058158058673e-05,0.00017819245113059878,0.00011208180512767285,0.00018919607100542635,0.00014540209667757154,0,0,0,0,0,0
Doing crafts is learning.,yellow,0.6994071320747025,0.9991530458210036,0.0,,0.0008469541789963841,0.00010951045987894759,0.0001656296954024583,0.0001122251051128842,0.0001864926452981308,0.0001524295803392306,0,0,0,0,0,0
This should have been her argument. Being a bullshit artist is a skill most people don’t understand. Calmly respond with “oh sorry the party was only for the last 20 minutes. We spent the first 40 doing SEL crafts related to Halloween though so i do understand how you could have thought it was all part of the party. Next time I will detail it more thoroughly beforehand so there isn’t a mix up!”,red,0.3414821565151214,0.48783165216445923,0.0,,0.4309229552745819,0.003996504936367273,0.5121683478355408,0.0010121173691004515,0.06220180541276932,0.0021260727662593126,0,0,1,0,0,0
"I wish I had an award to give to this comment. But, as it is, take my upvote.",yellow,0.6995626397256274,0.9993751996080391,0.0,,0.0006248003919608891,0.000126521015772596,0.00019142363453283906,0.00012277287896722555,0.00017914305499289185,0.00014265652862377465,0,0,0,0,0,0
That's all I remember doing in kindergarten? Crafts and singing songs and running around pretending to be she-ra. In senior kindergarten they found out I could read so they made me do some work but 🤷‍♀️,yellow,0.698426875169389,0.9977526788134128,0.0,,0.0022473211865872145,8.97320278454572e-05,0.00019892955606337637,0.00010896183084696531,0.00025517179165035486,0.0001658770488575101,0,0,0,0,0,0
Very much so,yellow,0.6994141347357071,0.9991630496224388,0.0,,0.000836950377561152,0.00011433184408815578,0.00018883273878600448,0.00011009103764081374,0.00018010784697253257,0.00014658732106909156,0,0,0,0,0,0
If you're creative you can find a standard to connect to anything.,yellow,0.6995540365052875,0.9993629092932679,0.0,,0.0006370907067321241,0.00012490763037931174,0.00016842794138938189,0.00013847099035046995,0.00017951428890228271,0.0001459267077734694,0,0,0,0,0,0
Absolutely yes!  Social/Emotional Learning is an easy go-to for this!,yellow,0.699449566740077,0.9992136667715386,0.0,,0.0007863332284614444,0.00010953229502774775,0.00016943029186222702,0.00012019767018500715,0.00018072902457788587,0.00013844801287632436,0,0,0,0,0,0
My school is one of the shitty schools that uses a scripted curriculum and were not supposed to do anything outside of it. 😭,red,0.05162709951400757,0.0737529993057251,0.0,,0.9262470006942749,0.015181411989033222,0.8327227830886841,0.0010859398171305656,0.1509602963924408,0.001978460466489196,1,0,1,0,0,0
"Then that's the crux of the matter right there. Heaven forbid if you have a kid with a great question that leads to a teachable moment. Heaven forbid if you find a better way to teach a concept than what is in the scripted curriculum. 

Scripted curricula don't require teachers of any particular knowledge or skill level. They're often instituted because of some warped concept of parity: if we don't teach kids the exact same material in the precise same way in the same span of time, then learning isn't equitable, this idiot concept says. Kids aren't widgets on an assembly line. They have varying needs, skills, abilities, and interests. 

There's another reason for instituting this curricula: it doesn't require teachers of any particular knowledge, education, or skill level. This allows districts and states to hire people who have none of those things and who will work for minimum wage. It's easy! All you have to do is read and babysit! /s",yellow,0.666036107763648,0.9514801539480686,0.0,1 profane term(s).,0.04851984605193138,0.0001657203829381615,0.002410714980214834,0.00028099401970393956,0.002631064737215638,0.0005555145908147097,0,0,0,0,0,0
"Well maybe your kids are just so amazing that you really charged through the script, in completion of course, and you, being the amazing teacher that you are, were able to keep them calm, working, and happy with your quick thinking skills to have them work on a craft to enhance their fine motor skills, supplementing your handwriting curriculum, as well as knowing that your students need extra support in these fine motor skills, so you had an amazing group of volunteers come in to assist you. 

But for real- the ‘last 30 mins’ crowd doesn’t know that kindergartners are a hot mess at party time and it takes time. The people doing walk-throughs the last hour of Halloween are a bunch of jerks. The people who set your school to a scripted curriculum are out of touch. 

But the people who came into your class and experienced that marvelous time with you and your babies? You made an amazing connection with them and they saw you as a real human who cares for their precious little ones. And your babies made a core memory to take on with them in their sea of scripted awfulness for the rest of their educational life. 

Maybe your parents can do some good trouble and start some pushback on the scripted curriculum when they find out that their kids aren’t allowed to have time to not be educational robots. 

Sending big hugs from another kinder teacher. These are the worst times, but I’m glad they have you to love on them in spite of all the awful!",yellow,0.6994359099538996,0.9991941570769995,0.0,,0.0008058429230004549,0.00011564366286620498,0.0001652016508160159,0.0001279955031350255,0.00020709354430437088,0.00014986141468398273,0,0,0,0,0,0
This is so sweet! 😭🩷Thank you!,red,0.2544778287410736,0.36353975534439087,0.0,,0.6364602446556091,0.0010287772165611386,0.08468586206436157,0.0007127889548428357,0.04754655435681343,0.0010107894195243716,1,0,0,0,0,0
Same :(,yellow,0.6994921321980655,0.999274474568665,0.0,,0.0007255254313349724,0.0001130201417254284,0.00018689531134441495,0.00011264292697887868,0.00017972818750422448,0.00013691930507775396,0,0,0,0,0,0
I tell people this all the time!,yellow,0.699478738300968,0.9992553404299542,0.0,,0.0007446595700457692,0.00011546901077963412,0.00018631313287187368,0.00011642149183899164,0.00016943077207542956,0.0001350852253381163,0,0,0,0,0,0
Tbh bat puppets and skeletons with q tips sound like there is opportunity for something to connect to a Kinder standard or curriculum. I’d just write them down in case anyone asks how it was relevant to learning😂,yellow,0.6994510678807273,0.9992158112581819,0.0,,0.0007841887418180704,0.00010985739208990708,0.00017833641322795302,0.00011917600204469636,0.00018466389155946672,0.0001419108739355579,0,0,0,0,0,0
"In kindergarten you call it fine motor, SEL, and science and move on! I teach first grade and you best believe we are doing the same thing.",yellow,0.6989113239222206,0.9984447484603152,0.0,,0.001555251539684832,9.127927478402853e-05,0.0001626669109100476,0.00010725471656769514,0.00023321145272348076,0.00015662203077226877,0,0,0,0,0,0
"We know so much about child development and we know how important play is for growing competent adults. I learned about it back in like 2002 before I ever started my path in education.

I don’t know who we need to convince that instruction in K-3 needs to be scaled back for more play, skill, and behavior development.",yellow,0.6995476967305876,0.999353852472268,0.0,,0.000646147527731955,0.00012044573668390512,0.0001671451609581709,0.00013080821372568607,0.00017985333397518843,0.00014697614824399352,0,0,0,0,0,0
"Even as a music educator, we are taught that one of the best applications of musical learning for ages birth through 9 is with play.",yellow,0.6992677354253828,0.9989539077505469,0.0,,0.0010460922494530678,0.00010299323912477121,0.00016610386956017464,0.00010688797192415223,0.00020577006216626614,0.00015185886877588928,0,0,0,0,0,0
Play based learning was literally the point of kindergarten when it was invented. I don't get the heavy push back against social emotional learning when literally almost every research study done in the last thirty years makes it clear it's the most important aspect of education.,yellow,0.6995274063956458,0.999324866279494,0.0,,0.0006751337205059826,0.00011460079258540645,0.00017150251369457692,0.00011763158545363694,0.00017688574735075235,0.00014284765347838402,0,0,0,0,0,0
"I would have been fired! My party last all day! We watched movies and I made hotdogs and gave out chips and cookies with juice. But, my admin also hosted a Halloween parade… so he clearly was not worried about instruction yesterday.",yellow,0.6779172651469707,0.9684532359242439,0.0,,0.03154676407575607,0.0001226861641043797,0.0008723126957193017,0.00029127366724424064,0.0010111635783687234,0.00029788236133754253,0,0,0,0,0,0
"My school is the opposite. Direct Instruction is supposedly a horrible thing, and everything we do should be immersive, interactive, hands-on, engaging, and fun.",yellow,0.6990537752513774,0.9986482503591105,0.0,,0.0013517496408894658,0.00010742226731963456,0.0001784764026524499,0.00011781165085267276,0.00021646353707183152,0.0001749155344441533,0,0,0,0,0,0
"For children of kindergarten age, almost everything actually should be immersive, hands-on, engaging, and fun. These are very young children, not trained scholars.",yellow,0.6988674228312447,0.998382032616064,0.0,,0.0016179673839360476,9.604341175872833e-05,0.00015896600962150842,0.00010202873818343505,0.0002698444586712867,0.00017155321256723255,0,0,0,0,0,0
"It should also not be a full day, in 1985 for me it was a half day, we had a morning group and an afternoon group.",yellow,0.6995649810764006,0.9993785443948582,0.0,,0.0006214556051418185,0.00012233744200784713,0.0001796278083929792,0.00012605365191120654,0.00018048482888843864,0.00014096115774009377,0,0,0,0,0,0
"Yes, a full day is asking far too much of a five year old. Unfortunately, we've become accustomed to the unwise practice of separating babies from their parent all day. We tolerate this unfortunate situation because our culture values the economic productivity of parents more than we value children.",yellow,0.6941530319862067,0.991647188551724,0.0,,0.008352811448276043,0.00010002765338867903,0.0003121506597381085,0.0001184538341476582,0.0006224538665264845,0.0002871712204068899,0,0,0,0,0,0
Parents can't afford to pay a daycare/babysitter for half a day 5 days a week. There are a lot fewer stay at home parents than there were in 1985.,yellow,0.6968206282705068,0.9954580403864384,0.0,,0.00454195961356163,9.115027933148667e-05,0.0002743892546277493,0.0001099027504096739,0.00034935015719383955,0.00019368517678231,0,0,0,0,0,0
I view days before breaks and major holidays as relationship building days. Me and my students chill and I learn way more about them because we can just chat instead of having to do our respective jobs. It's a huge part of my classroom management strategy and a pillar of my pedagogy. Kids work harder for you when you can let the facade down once in a while and show them that you're a normal person.,yellow,0.6970630781725049,0.9958043973892927,0.0,,0.004195602610707283,8.911899203667417e-05,0.00024486909387633204,0.00013524104724638164,0.00036003117565996945,0.00019607626018114388,0,0,0,0,0,0
"I’m an administrator at an elementary school.  All week long we had parents coming in to do classroom crafts.  Yesterday we did an “assembly” at the start of the day where my job was to keep the students occupied while the entire staff got into inflatable costumes so they could parade around the gym.  Then I did my own solo “parade” and visited classrooms in my inflatable costumes.  We ended the day with the school costume parade.  

Everyone in my school works super hard every single day to help students learn.  And that doesn’t mean we can’t still try to make elementary school fun when we can.",yellow,0.6995137718971818,0.9993053884245455,0.0,,0.0006946115754544735,0.00011544886365300044,0.00017096778901759535,0.00011893929331563413,0.0001825649378588423,0.00014480714162345976,0,0,0,0,0,0
"Motivation is a neglected factor in many schools. Getting kids excited about content leads to better long-term results. Bribery and punishment are better in the short term. Most metrics only look at the short term. State tests change so often that longitudinal data and construct validity aren’t measured. 

But yeah, tie the fun to standards. Open a bag of skittles and graph the colors, slap a math standard on the board, have them describe the flavor and call it sensory detail in writing.",yellow,0.6993831796280574,0.999118828040082,0.0,,0.0008811719599179924,0.00010479450429556891,0.00017114280490204692,0.00011470333265606314,0.0001826279767556116,0.00014204910257831216,0,0,0,0,0,0
"All I can tell you is it gets worse and worse as they progress through school. High school teacher here in a state takeover district and the pressure is relentless. They are to be driven, bell to bell, zero breaks, free time or finishing early. It’s brutal. I feel so bad for my students.",yellow,0.6942934933118522,0.9918478475883603,0.0,,0.00815215241163969,0.00011088036262663081,0.0003295756469015032,0.00014674145495519042,0.0004963639657944441,0.00030242305365391076,0,0,0,0,0,0
No wonder kids are anti-social weirdos now.,red,0.16723784804344177,0.2389112114906311,0.0,,0.7610887885093689,0.0017742908094078302,0.023275328800082207,0.0006957066361792386,0.29817742109298706,0.0234314426779747,1,0,0,0,0,0
Kindergarteners learn through play. Your activities sounded educational to me! I'm sure you could find standards to relate everything to if necessary.,yellow,0.6990044909645803,0.9985778442351148,0.0,,0.0014221557648852468,9.676459740148857e-05,0.00015685561811551452,0.00011703612835844979,0.00022945353703107685,0.00015750488091725856,0,0,0,0,0,0
My principal did an informal observation with one of my classes yesterday. Not only was it Halloween but it was also just 4 days before grades close. I was sitting at my desk grading while the kids (very loudly 😬) did a handout and any missing work. I have no idea how long she was even in there before I noticed her. Why would she set me up like that…The day before I had done a killer lesson with them. Oh well 🙃,yellow,0.6993833294895011,0.9991190421278588,0.0,,0.0008809578721411526,0.00010961703083012253,0.00017894877237267792,0.00011127947072964162,0.0001992530160350725,0.00013893521099817008,0,0,0,0,0,0
